index		a[]	+	b[]	=	c[]
1		41	+	467	=	508
2		334	+	500	=	834
3		169	+	724	=	893
4		478	+	358	=	836
5		962	+	464	=	1426
6		705	+	145	=	850
7		281	+	827	=	1108
8		961	+	491	=	1452
9		995	+	942	=	1937
10		827	+	436	=	1263
11		391	+	604	=	995
12		902	+	153	=	1055
13		292	+	382	=	674
14		421	+	716	=	1137
15		718	+	895	=	1613
16		447	+	726	=	1173
17		771	+	538	=	1309
18		869	+	912	=	1781
19		667	+	299	=	966
20		35	+	894	=	929
21		703	+	811	=	1514
22		322	+	333	=	655
23		673	+	664	=	1337
24		141	+	711	=	852
25		253	+	868	=	1121
26		547	+	644	=	1191
27		662	+	757	=	1419
28		37	+	859	=	896
29		723	+	741	=	1464
30		529	+	778	=	1307
31		316	+	35	=	351
32		190	+	842	=	1032
33		288	+	106	=	394
34		40	+	942	=	982
35		264	+	648	=	912
36		446	+	805	=	1251
37		890	+	729	=	1619
38		370	+	350	=	720
39		6	+	101	=	107
40		393	+	548	=	941
41		629	+	623	=	1252
42		84	+	954	=	1038
43		756	+	840	=	1596
44		966	+	376	=	1342
45		931	+	308	=	1239
46		944	+	439	=	1383
47		626	+	323	=	949
48		537	+	538	=	1075
49		118	+	82	=	200
50		929	+	541	=	1470
51		833	+	115	=	948
52		639	+	658	=	1297
53		704	+	930	=	1634
54		977	+	306	=	1283
55		673	+	386	=	1059
56		21	+	745	=	766
57		924	+	72	=	996
58		270	+	829	=	1099
59		777	+	573	=	1350
60		97	+	512	=	609
61		986	+	290	=	1276
62		161	+	636	=	797
63		355	+	767	=	1122
64		655	+	574	=	1229
65		31	+	52	=	83
66		350	+	150	=	500
67		941	+	724	=	1665
68		966	+	430	=	1396
69		107	+	191	=	298
70		7	+	337	=	344
71		457	+	287	=	744
72		753	+	383	=	1136
73		945	+	909	=	1854
74		209	+	758	=	967
75		221	+	588	=	809
76		422	+	946	=	1368
77		506	+	30	=	536
78		413	+	168	=	581
79		900	+	591	=	1491
80		762	+	655	=	1417
81		410	+	359	=	769
82		624	+	537	=	1161
83		548	+	483	=	1031
84		595	+	41	=	636
85		602	+	350	=	952
86		291	+	836	=	1127
87		374	+	20	=	394
88		596	+	21	=	617
89		348	+	199	=	547
90		668	+	484	=	1152
91		281	+	734	=	1015
92		53	+	999	=	1052
93		418	+	938	=	1356
94		900	+	788	=	1688
95		127	+	467	=	594
96		728	+	893	=	1621
97		648	+	483	=	1131
98		807	+	421	=	1228
99		310	+	617	=	927
100		813	+	514	=	1327
101		309	+	616	=	925
102		935	+	451	=	1386
103		600	+	249	=	849
104		519	+	556	=	1075
105		798	+	303	=	1101
106		224	+	8	=	232
107		844	+	609	=	1453
108		989	+	702	=	1691
109		195	+	485	=	680
