index		a[]	+	b[]	=	c[]
1		41	+	467	=	0
2		334	+	500	=	0
3		169	+	724	=	0
4		478	+	358	=	0
5		962	+	464	=	0
6		705	+	145	=	0
7		281	+	827	=	0
8		961	+	491	=	0
9		995	+	942	=	0
10		827	+	436	=	0
11		391	+	604	=	0
12		902	+	153	=	0
13		292	+	382	=	0
14		421	+	716	=	0
15		718	+	895	=	0
16		447	+	726	=	0
17		771	+	538	=	0
18		869	+	912	=	0
19		667	+	299	=	0
20		35	+	894	=	0
21		703	+	811	=	0
22		322	+	333	=	0
23		673	+	664	=	0
24		141	+	711	=	0
25		253	+	868	=	0
26		547	+	644	=	0
27		662	+	757	=	0
28		37	+	859	=	0
29		723	+	741	=	0
30		529	+	778	=	0
31		316	+	35	=	0
32		190	+	842	=	0
33		288	+	106	=	0
34		40	+	942	=	0
35		264	+	648	=	0
36		446	+	805	=	0
37		890	+	729	=	0
38		370	+	350	=	0
39		6	+	101	=	0
40		393	+	548	=	0
41		629	+	623	=	0
42		84	+	954	=	0
43		756	+	840	=	0
44		966	+	376	=	0
45		931	+	308	=	0
46		944	+	439	=	0
47		626	+	323	=	0
48		537	+	538	=	0
49		118	+	82	=	0
50		929	+	541	=	0
51		833	+	115	=	0
52		639	+	658	=	0
53		704	+	930	=	0
54		977	+	306	=	0
55		673	+	386	=	0
56		21	+	745	=	0
57		924	+	72	=	0
58		270	+	829	=	0
59		777	+	573	=	0
60		97	+	512	=	0
61		986	+	290	=	0
62		161	+	636	=	0
63		355	+	767	=	0
64		655	+	574	=	0
65		31	+	52	=	0
66		350	+	150	=	0
67		941	+	724	=	0
68		966	+	430	=	0
69		107	+	191	=	0
70		7	+	337	=	0
71		457	+	287	=	0
72		753	+	383	=	0
73		945	+	909	=	0
74		209	+	758	=	0
75		221	+	588	=	0
76		422	+	946	=	0
77		506	+	30	=	0
78		413	+	168	=	0
79		900	+	591	=	0
80		762	+	655	=	0
81		410	+	359	=	0
82		624	+	537	=	0
83		548	+	483	=	0
84		595	+	41	=	0
85		602	+	350	=	0
86		291	+	836	=	0
87		374	+	20	=	0
88		596	+	21	=	0
89		348	+	199	=	0
90		668	+	484	=	0
91		281	+	734	=	0
92		53	+	999	=	0
93		418	+	938	=	0
94		900	+	788	=	0
95		127	+	467	=	0
96		728	+	893	=	0
97		648	+	483	=	0
98		807	+	421	=	0
