ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Florence
1,1,1,?,?,?,?,?,?,?,?
1,1,?,?,?,?,1,?,?,?,?
?,?,1,1,?,?,1,1,?,?,?
?,?,1,?,?,?,?,?,?,?,?
1,?,?,?,?,?,?,?,?,?,?
?,?,?,1,?,?,?,?,?,?,?
?,?,1,?,?,?,?,?,?,?,?
?,?,?,1,?,?,?,?,?,?,?
1,1,?,?,?,?,?,?,?,?,?
1,1,1,1,?,?,1,?,?,?,?
?,?,1,?,?,?,?,?,?,?,1
1,?,1,1,1,?,1,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,1,?,?,?,?,?
1,1,1,1,?,1,1,?,?,?,?
?,?,1,?,?,?,?,?,?,?,?
1,1,1,?,1,?,1,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
?,1,?,?,?,1,?,?,?,?,?
1,?,?,?,?,?,?,?,?,?,?
1,1,1,1,1,1,?,1,1,1,?
?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
1,?,1,?,?,?,1,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
1,?,?,?,?,?,1,?,?,?,?
?,?,1,?,?,?,?,?,?,?,?
1,?,?,?,?,?,?,?,?,?,?
1,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
1,?,?,?,1,1,1,?,?,?,1
1,?,?,?,?,?,?,?,?,?,?
?,?,1,?,?,1,?,?,?,?,?
1,1,?,?,?,?,1,?,?,?,?
1,?,?,1,?,?,?,?,?,?,?
?,1,1,1,1,1,?,1,1,1,?
?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,1,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
1,?,1,1,1,?,1,?,?,?,?
?,?,?,?,?,?,?,?,?,?,1
1,1,1,1,?,1,?,1,?,1,?
?,?,1,?,?,?,1,?,?,?,1
?,?,1,?,1,?,?,?,?,?,?
1,?,1,1,?,1,?,?,?,?,?
1,?,?,?,?,?,?,?,?,?,?
1,?,?,?,?,1,?,?,?,?,?
1,?,?,?,?,1,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
?,?,1,?,1,?,?,?,?,?,?
1,1,?,?,1,1,1,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
?,?,?,1,1,1,?,?,?,?,1
?,?,?,?,?,?,?,?,?,?,?
?,?,?,1,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
?,?,?,1,?,?,?,?,?,?,?
1,1,1,?,?,1,1,?,?,?,?
?,?,1,?,1,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
1,?,1,1,1,1,?,?,1,?,?
?,?,1,1,1,?,1,?,?,?,?
?,?,?,?,1,?,?,?,?,?,?
1,1,1,1,1,?,1,?,?,?,1
1,1,?,?,?,?,?,?,?,?,?
?,?,1,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,1
?,?,?,?,?,?,?,?,?,?,?
1,?,1,1,?,1,1,?,?,?,?
1,?,?,1,1,1,1,?,?,?,1
?,?,?,?,?,?,?,?,?,?,?
?,?,1,?,?,?,?,?,?,?,?
?,1,?,?,?,?,?,?,?,?,?
1,1,1,1,?,1,1,1,?,?,?
1,?,?,?,?,?,1,?,?,?,?
1,?,1,1,?,1,1,1,?,?,?
1,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
?,?,1,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,1,?,?,?,?
1,1,1,1,1,1,1,1,1,1,1
?,?,?,1,1,?,?,?,?,?,?
1,?,1,1,1,1,1,?,?,?,?
1,?,1,1,1,?,?,?,?,?,1
?,?,?,1,?,?,?,?,?,?,?
1,1,?,1,1,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
1,1,1,1,1,?,?,?,?,?,?
1,?,1,?,1,1,1,?,?,?,1
1,?,?,?,?,?,?,?,?,?,?
1,?,1,1,?,1,1,1,?,1,?
1,?,1,1,1,1,?,1,?,?,?
?,?,1,?,?,?,?,?,?,?,?
?,?,1,?,?,?,1,?,?,?,?
?,1,?,?,?,?,?,?,?,?,?
1,?,1,?,?,?,?,?,?,?,?
1,1,1,1,?,1,1,1,?,1,?
1,?,1,1,1,1,?,?,?,?,?
1,1,1,1,?,?,?,?,?,?,?
1,?,1,1,?,1,1,1,?,1,1
1,1,1,1,1,?,1,1,1,?,1
1,?,?,1,?,1,1,?,?,?,?
?,?,1,1,?,?,1,?,?,?,?
?,?,1,?,?,?,?,?,?,?,?
1,1,1,1,1,1,1,?,?,?,?
1,1,1,?,1,?,1,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
1,1,?,?,?,?,?,?,?,?,?
1,?,1,1,1,?,?,?,?,?,?
1,1,1,1,1,?,?,1,1,?,?
?,?,?,?,1,?,?,?,?,?,?
?,1,?,?,?,?,?,?,?,?,?
1,?,?,1,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
?,1,1,?,?,1,?,?,?,?,?
?,?,?,?,?,1,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
1,?,1,?,?,1,1,?,?,?,1
1,?,1,1,1,1,1,?,?,?,?
1,1,1,1,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
1,?,1,1,?,1,1,1,?,1,1
1,1,?,1,1,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,1,?,?,?,1
?,?,1,?,?,?,?,?,?,?,?
1,?,?,?,?,?,?,?,?,?,?
1,?,1,?,?,?,1,1,?,?,?
1,?,?,?,?,1,?,?,?,1,?
1,1,?,?,?,?,?,?,?,?,?
1,?,?,?,?,?,?,?,?,?,1
